"sample_id","qtl2_pct_diff","haploqa_pct_diff","haploqa_qtl2_pct_diff"
"8RS",0,0.0148404487833309,0.0148404487833309
"8RT",0,0.00485210549322454,0.00485210549322454
"8RU",0,0.0123415415998834,0.0123415415998834
"8RW",0,0.00745300888824129,0.00745300888824129
"8RX",0,0.00998834329010637,0.00998834329010637
"8RY",0,0.0129170916508815,0.0129170916508815
"8S2",0,0.0139807664286755,0.0139807664286755
"8S3",0,0.00899023750546408,0.00899023750546408
"8S4",0,0.0178129098062072,0.0178129098062072
"8S6",0,0.00472096750692117,0.00472096750692117
"8S7",0,0.00735829812035553,0.00735829812035553
"8S8",0,0.00797027538977124,0.00797027538977124
"8SA",0,0.0106003205595221,0.0106003205595221
"8SB",0,0.00955121666909515,0.00955121666909515
"8SC",0,0.00351886929914032,0.00351886929914032
"8SE",0,0.029557045024042,0.029557045024042
"8SF",0,0.00532565933265336,0.00532565933265336
"8SG",0,0.0119845548593909,0.0119845548593909
"8SJ",0,0.00890281218126184,0.00890281218126184
"8SK",0,0.0102287629316625,0.0102287629316625
"8SM",0,0.00904852105493224,0.00904852105493224
"8SP",0,0.0109864490747487,0.0109864490747487
"8SQ",0,0.011846131429404,0.011846131429404
"8SR",0,0.00738015445140609,0.00738015445140609
"8ST",0,0.0133177910534752,0.0133177910534752
"8SU",0,0.0118534168730876,0.0118534168730876
"8SV",0,0.0124945359172374,0.0124945359172374
"8SX",0,0.0111685851668367,0.0111685851668367
"8SY",0,0.0123269707125164,0.0123269707125164
"8SZ",0,0.00472825295060469,0.00472825295060469
"8T3",0,0.00817426781290981,0.00817426781290981
"8T4",0,0.0114454320268104,0.0114454320268104
"8T7",0,0.0098207780853854,0.0098207780853854
"8T8",0,0.00565350429841177,0.00565350429841177
